Noise,Method,RMSE,Median absolute error
Normal,B-spline,0.028043071699637406,0.022073574172053134
Normal,Smoothing spline,0.06981497773148411,0.0622398943464427
Normal,Nadaraya-Watson,0.07032626507415797,0.045108048208763074
Normal,Local linear,0.04959227740576317,0.04208328366773939
Normal,B-spline,0.04531752605519787,0.029158353994573893
Normal,Smoothing spline,0.07710097414950164,0.0584693994339201
Normal,Nadaraya-Watson,0.06843524202631038,0.04293671187763713
Normal,Local linear,0.0493691061661438,0.034925484895045
Normal,B-spline,0.040369942819477866,0.02659354597429192
Normal,Smoothing spline,0.07255456374580667,0.055530947508401735
Normal,Nadaraya-Watson,0.052316127404824685,0.024156347981547643
Normal,Local linear,0.036823515989556375,0.029329216963959792
Normal,B-spline,0.025044752246288216,0.0220061786055209
Normal,Smoothing spline,0.0709784892979198,0.055584271698245785
Normal,Nadaraya-Watson,0.06790733053173627,0.028189664568502165
Normal,Local linear,0.04154446803179245,0.02591365570147036
Normal,B-spline,0.046822804439673175,0.026686592011452598
Normal,Smoothing spline,0.07332856874191636,0.05112069685499432
Normal,Nadaraya-Watson,0.06453823702603184,0.03177799175319353
Normal,Local linear,0.03422800621388069,0.02122782975108589
Normal,B-spline,0.0388818474212814,0.024728219182389544
Normal,Smoothing spline,0.08144411773640095,0.05370003459841935
Normal,Nadaraya-Watson,0.04884822973964657,0.03430123939260654
Normal,Local linear,0.04780363642685219,0.03566754257028715
Normal,B-spline,0.033319256891354065,0.02055012471287762
Normal,Smoothing spline,0.07140801117440376,0.05853744265227445
Normal,Nadaraya-Watson,0.06755678570285155,0.044054439670598855
Normal,Local linear,0.04900170133512312,0.03812640548150753
Normal,B-spline,0.0440135202936925,0.030587013076882663
Normal,Smoothing spline,0.07651145455949465,0.05007028283662929
Normal,Nadaraya-Watson,0.05101405619329824,0.02619211574142158
Normal,Local linear,0.03065802755801056,0.017004288368135397
Normal,B-spline,0.035418466456779485,0.020951135985265046
Normal,Smoothing spline,0.07102122753757052,0.052843513171989764
Normal,Nadaraya-Watson,0.06450449642631634,0.03751815867696138
Normal,Local linear,0.04111927815998931,0.02784184911174724
Normal,B-spline,0.03483651551499301,0.02642365224651988
Normal,Smoothing spline,0.0772845726681282,0.05687140825359355
Normal,Nadaraya-Watson,0.05444480229799373,0.04512632302878627
Normal,Local linear,0.056625545423861834,0.044650078689868644
Normal,B-spline,0.04705309431838443,0.034396961559218356
Normal,Smoothing spline,0.07100696146568569,0.056065108181849566
Normal,Nadaraya-Watson,0.04433884872187247,0.021702191007729077
Normal,Local linear,0.03220522213340641,0.020842632377071152
Normal,B-spline,0.027378098125716496,0.01452890549905761
Normal,Smoothing spline,0.07457622934880835,0.05237614977559413
Normal,Nadaraya-Watson,0.0704615758267898,0.04115628758358497
Normal,Local linear,0.05310743441888368,0.05013094453027944
Normal,B-spline,0.03366153557362692,0.018986684362745032
Normal,Smoothing spline,0.07053771580136516,0.06274015722623305
Normal,Nadaraya-Watson,0.06884545999435762,0.03654282701155615
Normal,Local linear,0.046594866059730386,0.028154035706499658
Normal,B-spline,0.04081572092061701,0.021845177552940354
Normal,Smoothing spline,0.07124327660930714,0.05710760535226364
Normal,Nadaraya-Watson,0.05002088453017335,0.032558426872713334
Normal,Local linear,0.03849454338604394,0.026765081737545826
Normal,B-spline,0.029031918762172735,0.02859993214360032
Normal,Smoothing spline,0.07368415713726054,0.05303622788544288
Normal,Nadaraya-Watson,0.05960578804103784,0.025898556513531457
Normal,Local linear,0.03793040528751809,0.024412567157172493
Normal,B-spline,0.047140268098741896,0.024199877502856806
Normal,Smoothing spline,0.07178948507106522,0.051979316065965564
Normal,Nadaraya-Watson,0.07510684538957559,0.04288662244840674
Normal,Local linear,0.04723158556127665,0.031409681379627075
Normal,B-spline,0.03735521349260933,0.018831207220625423
Normal,Smoothing spline,0.0729167514664031,0.06234116684396773
Normal,Nadaraya-Watson,0.06833453995716207,0.031235597430364553
Normal,Local linear,0.04461627324612321,0.034218085428022196
Normal,B-spline,0.024494656393452493,0.01641513085325147
Normal,Smoothing spline,0.06873290359598641,0.061848306722460514
Normal,Nadaraya-Watson,0.0667256539768099,0.04547818098035869
Normal,Local linear,0.05517861469259431,0.032737707805333846
Normal,B-spline,0.05885232548840407,0.03672756750735506
Normal,Smoothing spline,0.07025614484257557,0.05892587914835615
Normal,Nadaraya-Watson,0.0483160175538804,0.024885856239797124
Normal,Local linear,0.03549531777229701,0.020487127275617883
Normal,B-spline,0.02527684608000497,0.0182328402208074
Normal,Smoothing spline,0.0690862252055406,0.060655878420509804
Normal,Nadaraya-Watson,0.0712019798956899,0.03881565224351696
Normal,Local linear,0.056221260598848466,0.04872430646715106
Normal,B-spline,0.03143670878972038,0.021780324614827123
Normal,Smoothing spline,0.07355421157560303,0.06459663098363788
Normal,Nadaraya-Watson,0.06414579038537492,0.038249498353027114
Normal,Local linear,0.03801306128116566,0.026929797967240335
Normal,B-spline,0.025321468499034116,0.017359927354608506
Normal,Smoothing spline,0.07298119191812114,0.060322339039725725
Normal,Nadaraya-Watson,0.07287911219504165,0.03764033664035987
Normal,Local linear,0.04832206632519575,0.03179306747535582
Normal,B-spline,0.04261298455021237,0.02923978610593342
Normal,Smoothing spline,0.0714822354786083,0.05917977899117072
Normal,Nadaraya-Watson,0.06179734554832448,0.04577584175404888
Normal,Local linear,0.05625362530005899,0.04302637883980309
Normal,B-spline,0.0386065452842455,0.021091230487841672
Normal,Smoothing spline,0.07288435573795114,0.06401013544249967
Normal,Nadaraya-Watson,0.05953192616773284,0.037533946974942334
Normal,Local linear,0.031886964857744206,0.02377628957383908
Normal,B-spline,0.029993615936568074,0.028033816329065556
Normal,Smoothing spline,0.07213599515962525,0.05547344327705095
Normal,Nadaraya-Watson,0.0513679081450366,0.03176710403247797
Normal,Local linear,0.03880621059223458,0.031154113693356383
Normal,B-spline,0.028057857755524447,0.018889924209628817
Normal,Smoothing spline,0.07090552843888777,0.05611382846731924
Normal,Nadaraya-Watson,0.08422022530746837,0.0629969169145349
Normal,Local linear,0.06557284674804935,0.05388529848553625
Normal,B-spline,0.05217089044953278,0.05016182970127825
Normal,Smoothing spline,0.08454105176207131,0.06153319654379025
Normal,Nadaraya-Watson,0.05110971401707215,0.027512251361810125
Normal,Local linear,0.0417865976051302,0.027010743466338666
Normal,B-spline,0.038606261871996096,0.026178687080728735
Normal,Smoothing spline,0.07434645501059527,0.05791992294385781
Normal,Nadaraya-Watson,0.061667073281757245,0.030829229392665983
Normal,Local linear,0.04833764371170123,0.03340795882326839
Normal,B-spline,0.03925844631443748,0.024600527063692534
Normal,Smoothing spline,0.07175491644767784,0.055626785780028
Normal,Nadaraya-Watson,0.08252445967144711,0.06348905595648785
Normal,Local linear,0.06123225599094229,0.04201320889534395
Normal,B-spline,0.0528792277078881,0.03561430633334928
Normal,Smoothing spline,0.07882284125765505,0.06184082258596643
Normal,Nadaraya-Watson,0.06248470427398033,0.0316377012171602
Normal,Local linear,0.04303316645959253,0.021612800578584945
Normal,B-spline,0.035846271274874816,0.028040810290402784
Normal,Smoothing spline,0.07239796770446448,0.05690103018140841
Normal,Nadaraya-Watson,0.04737556755325203,0.03270585173353101
Normal,Local linear,0.0417148549292197,0.031094094672916323
Normal,B-spline,0.03904122979370582,0.030425509996154232
Normal,Smoothing spline,0.07542950285208364,0.05136483104524481
Normal,Nadaraya-Watson,0.08540386286033341,0.03372186033583237
Normal,Local linear,0.0643726606201491,0.032723689993368915
Normal,B-spline,0.04291036836159196,0.016535246774424
Normal,Smoothing spline,0.07518726256488573,0.05217031243332804
Normal,Nadaraya-Watson,0.06533754050157181,0.03186880992713699
Normal,Local linear,0.051846652029407414,0.0314949957936953
Normal,B-spline,0.04531325864172098,0.019664415921881062
Normal,Smoothing spline,0.06989148811730772,0.06767807988844873
Normal,Nadaraya-Watson,0.06527656422266616,0.02698980922867672
Normal,Local linear,0.04393881645860065,0.031304177667709876
Normal,B-spline,0.031152437516464026,0.014950284967136018
Normal,Smoothing spline,0.07143154850810142,0.05638072529747129
Normal,Nadaraya-Watson,0.055933801745867616,0.034712917922592346
Normal,Local linear,0.046199349692108656,0.030599204890099135
Normal,B-spline,0.045946391873363454,0.03565386171146656
Normal,Smoothing spline,0.07172803978582533,0.05519159600276535
Normal,Nadaraya-Watson,0.058335985293274835,0.02401714274817479
Normal,Local linear,0.05007604006140121,0.038991678575235084
Normal,B-spline,0.03018429168143804,0.01214576177778498
Normal,Smoothing spline,0.07690683350069899,0.051676399820984126
Normal,Nadaraya-Watson,0.06471909881615384,0.02574368854136963
Normal,Local linear,0.04520942222065948,0.023279841330593576
Normal,B-spline,0.0418715653116523,0.031787543329974244
Normal,Smoothing spline,0.06973265724525053,0.05414058783111575
Normal,Nadaraya-Watson,0.0966044164941501,0.03677024421595914
Normal,Local linear,0.0608259081165654,0.05044534590497293
Normal,B-spline,0.048153238277979335,0.03223306690107225
Normal,Smoothing spline,0.07558255872969612,0.06122114264353237
Normal,Nadaraya-Watson,0.04883597531919005,0.037613769562650556
Normal,Local linear,0.041619808035799205,0.02973738748457476
Normal,B-spline,0.02894797577174177,0.018065892316046973
Normal,Smoothing spline,0.07263275160836745,0.05611231535818095
Normal,Nadaraya-Watson,0.05483234183167434,0.02398799761442938
Normal,Local linear,0.037797172233899626,0.02960954452849504
Normal,B-spline,0.025634781907152442,0.010893593988507422
Normal,Smoothing spline,0.07597407017624187,0.05252099966407636
Normal,Nadaraya-Watson,0.07210137369739918,0.03709134194344732
Normal,Local linear,0.04753734180878497,0.028254274572260145
Normal,B-spline,0.042669211214892824,0.02697347834689995
Normal,Smoothing spline,0.07028237238933963,0.05971069621599073
Normal,Nadaraya-Watson,0.053456670059554276,0.02917739032994942
Normal,Local linear,0.03885318202746302,0.021373710792351175
Normal,B-spline,0.038341109681292763,0.0210749542657509
Normal,Smoothing spline,0.07631493100392471,0.0514035926767627
Normal,Nadaraya-Watson,0.06802301050148912,0.035198703133293346
Normal,Local linear,0.04222429041822731,0.036685138778596756
Normal,B-spline,0.04184697683920731,0.02448928531455033
Normal,Smoothing spline,0.07286956557933297,0.06108724994099429
Normal,Nadaraya-Watson,0.06921232287943271,0.03779624944779632
Normal,Local linear,0.051756372056314,0.03950822624271476
Normal,B-spline,0.03963366444226399,0.015631746866469676
Normal,Smoothing spline,0.07760995482094764,0.054744199473444555
Normal,Nadaraya-Watson,0.0644440023081573,0.02972223564323255
Normal,Local linear,0.040201195989462,0.020424891600234557
Normal,B-spline,0.04245571323566971,0.03165012992412641
Normal,Smoothing spline,0.07599375478161818,0.056614760204885595
Normal,Nadaraya-Watson,0.05597678660253958,0.021513290798411466
Normal,Local linear,0.03340277860566192,0.020889883889486927
Normal,B-spline,0.03155143924875466,0.02364955690594417
Normal,Smoothing spline,0.07021540508719715,0.05795818533673819
Normal,Nadaraya-Watson,0.06464356201082833,0.02246805278108574
Normal,Local linear,0.04875303771933416,0.028151030834861923
Normal,B-spline,0.030318931868785596,0.016910654455951357
Normal,Smoothing spline,0.07289145661161987,0.06027849662358967
Normal,Nadaraya-Watson,0.07947120243711062,0.024776302654823133
Normal,Local linear,0.04752718895566865,0.02862321107646988
Normal,B-spline,0.048130132126051446,0.027966237003205552
Normal,Smoothing spline,0.07443792288117854,0.06587530448380463
Normal,Nadaraya-Watson,0.057249971354349484,0.032940130996100755
Normal,Local linear,0.03333642138688942,0.027757156281648432
Normal,B-spline,0.021456745830916966,0.017412605639947454
Normal,Smoothing spline,0.07278480556272744,0.05274509167248409
Normal,Nadaraya-Watson,0.05660938440551594,0.03390417783278163
Normal,Local linear,0.03742344761414386,0.021046869072716162
Normal,B-spline,0.03158050633056975,0.028699961082305214
Normal,Smoothing spline,0.07512276897201653,0.05273078832044431
Normal,Nadaraya-Watson,0.05167559659765864,0.03351250147908903
Normal,Local linear,0.04674614366791805,0.043157825355615353
Normal,B-spline,0.027312240218095626,0.01597663213213002
Normal,Smoothing spline,0.0719907321214018,0.06360788019462843
