Function,Method,ISE,RMSE,Boundary RMSE,Time
Smooth periodic,Smoothing spline,0.00476958120291957,0.06906215463565823,0.08631124588994468,6.990000110818073e-05
Smooth periodic,Linear,0.2067494493196564,0.4546970962296289,0.7272093378875135,0.0003446000009716954
Smooth periodic,Polynomial,0.006467590622526183,0.08042133188729333,0.12394762382385328,0.0006422000005841255
Smooth periodic,Nadaraya-Watson,0.0033798466090574,0.05813644819781649,0.11405721740905793,0.00021910000032221433
Smooth periodic,Local linear,0.0020614226119411282,0.04540289210987697,0.08096332306661146,0.004610800000591553
Smooth periodic,Local quadratic,0.0024349696088042205,0.049345411223377406,0.08865777442223373,0.003885199999785982
Smooth periodic,B-spline,0.002127628090501215,0.04612621912211334,0.08552916448822073,0.0008237000001827255
Smooth periodic,Smoothing spline,0.006467590622526077,0.08042133188729267,0.12394762382385506,6.759999996575061e-05
Smooth periodic,Linear,0.20036138682474056,0.44761745589815927,0.5823485215374837,0.0004019999996671686
Smooth periodic,Polynomial,0.0069770757540783025,0.08352889173261131,0.15306402597306226,0.0006869000008009607
Smooth periodic,Nadaraya-Watson,0.0022337133196522747,0.047262176416795226,0.06255553991518377,0.0002134000005753478
Smooth periodic,Local linear,0.0031189470309617925,0.05584753379480416,0.08993419852476159,0.003577099998437916
Smooth periodic,Local quadratic,0.002544672918217395,0.050444751146352135,0.08694648940825683,0.0038528000004589558
Smooth periodic,B-spline,0.003928457416806068,0.06267740754694683,0.10371354236959061,0.0008096000001387438
Smooth periodic,Smoothing spline,0.006977075754078275,0.08352889173261115,0.15306402597306287,6.680000115011353e-05
Smooth periodic,Linear,0.20392364549146766,0.45157905785307145,0.5763671028745361,0.0003450999993219739
Smooth periodic,Polynomial,0.005128145273613862,0.07161106949078377,0.09597667367257033,0.0006004999995639082
Smooth periodic,Nadaraya-Watson,0.004484079738865757,0.06696327156632774,0.0936690863726659,0.00022560000070370734
Smooth periodic,Local linear,0.0029540140307290777,0.054350842042502685,0.03763432182322202,0.0036141000000498025
Smooth periodic,Local quadratic,0.0017486930487092653,0.04181737735331169,0.03556842552512366,0.0038813999999547377
